pid,firstname,lastname,dob,position
RHODERO01,Rodrick,Rhodes,1973-09-24 00:00:00,G

RICEGL01,Glen,Rice,1967-05-28 00:00:00,F

RichaCh01,Chris,Richard,1984-12-25 00:00:00,F

RichaJe01,Jeremy,Richardson,1983-02-11 00:00:00,F

RICHACL01,Clint,Richardson,1956-08-07 00:00:00,G

RICHAJA01,Jason,Richardson,1981-01-20 00:00:00,G

RICHAMI01,Micheal Ray,Richardson,1955-04-11 00:00:00,G

RICHANO01,Norm,Richardson,1979-07-24 00:00:00,G

RICHAPO01,Pooh,Richardson,1966-05-14 00:00:00,G

RICHAQU01,Quentin,Richardson,1980-04-13 00:00:00,G

RICHMMI01,Mitch,Richmond,1965-06-30 00:00:00,G

RICHTJO01,John,Richter,1937-03-12 00:00:00,F

RICKEDI01,Dick,Ricketts,1933-12-04 00:00:00,F

RIDERIS01,Isaiah,Rider,1971-03-12 00:00:00,G

RIDNOLU01,Luke,Ridnour,1981-02-13 00:00:00,G

RIEBEME01,Mel,Riebe,1916-07-12 00:00:00,G

RIEDYBO01,Bob,Riedy,1945-08-26 00:00:00,F

RIFFEJI01,Jim,Riffey,1923-12-14 00:00:00,F

RIGAUAN01,Antoine,Rigaudeau,1971-12-17 00:00:00,G

RIKERTO01,Tom,Riker,1950-02-28 00:00:00,F

RILEYBO01,Bob,Riley,1948-07-06 00:00:00,F

RILEYER01,Eric,Riley,1970-06-02 00:00:00,C

RILEYPA01,Pat,Riley,1945-03-20 00:00:00,G

RILEYRO01,Ron,Riley,1950-11-11 00:00:00,F

RINALRI01,Rich,Rinaldi,1949-08-03 00:00:00,G

RIORDMI01,Mike,Riordan,1945-07-09 00:00:00,F

RISENAR01,Arnie,Risen,1924-10-09 00:00:00,C

RITTEGO01,Goebel,Ritter,1924-02-26 00:00:00,G

RIVASRA01,Ramon,Rivas,1966-06-03 00:00:00,F

RIVERDA01,David,Rivers,1965-01-20 00:00:00,G

RIVERDO01,Doc,Rivers,1961-10-13 00:00:00,G

ROBBIAU01,Austin,Robbins,1944-09-30 00:00:00,F

ROBBILE01,Lee,Robbins,1922-02-11 00:00:00,F

ROBERAN02,Anthony,Roberson,1983-02-14 00:00:00,G

ROBERRI01,Rick,Roberson,1947-07-07 00:00:00,C

ROBERTE01,Terrance,Roberson,1976-12-30 00:00:00,F

ROBERST01,Stanley,Roberts,1970-02-07 00:00:00,C

ROBERLA01,Lawrence,Roberts,1982-10-20 00:00:00,F

ROBERAN01,Anthony,Roberts,1955-04-15 00:00:00,F

ROBERBI01,Bill,Roberts,1925-03-13 00:00:00,C

ROBERFR01,Fred,Roberts,1960-08-14 00:00:00,F

ROBERJO01,Joe,Roberts,1936-05-18 00:00:00,F

ROBERMA01,Marv,Roberts,1950-01-29 00:00:00,F

ROBEROS01,Oscar,Robertson,1938-11-24 00:00:00,G

ROBERAL01,Alvin,Robertson,1962-07-22 00:00:00,G

ROBERTO01,Tony,Robertson,1956-01-01 00:00:00,G

ROBERRY01,Ryan,Robertson,1976-10-02 00:00:00,G

ROBEYRI01,Rick,Robey,1956-01-30 00:00:00,C

ROBINNA01,Nate,Robinson,1984-05-31 00:00:00,G

ROBINCH01,Chris,Robinson,1974-04-02 00:00:00,G

ROBINCL01,Clifford T.,Robinson,1960-03-13 00:00:00,F

ROBINCL02,Clifford R. ,Robinson,1966-12-16 00:00:00,F

ROBINDA01,David,Robinson,1965-08-06 00:00:00,C

ROBINED01,Eddie,Robinson,1976-04-10 00:00:00,F

ROBINFL01,Flynn,Robinson,1941-04-28 00:00:00,G

ROBINGL01,Glenn,Robinson,1973-01-10 00:00:00,F

ROBINJA01,Jackie,Robinson,1955-05-20 00:00:00,F

ROBINJA02,Jamal,Robinson,1973-12-27 00:00:00,F

ROBINJA03,James,Robinson,1970-08-31 00:00:00,G

ROBINLA01,Larry,Robinson,1968-01-11 00:00:00,G

ROBINOL01,Oliver,Robinson,1960-03-13 00:00:00,G

ROBINRO01,Ronnie,Robinson,1951-03-09 00:00:00,F

ROBINRU01,Rumeal,Robinson,1966-11-13 00:00:00,G

ROBINTR01,Truck,Robinson,1951-10-04 00:00:00,F

ROBINWA01,Wayne,Robinson,1958-04-19 00:00:00,F

ROBINWI01,Wil,Robinson,1949-12-25 00:00:00,G

ROBINBE01,Bernard,Robinson Jr.,1980-12-26 00:00:00,G

ROBINBI01,Bill,Robinzine,1953-01-20 00:00:00,F

ROBISDA01,Dave,Robisch,1949-12-22 00:00:00,C

ROCHARE01,Red,Rocha,1923-09-18 00:00:00,C

ROCHEJO01,John,Roche,1949-09-26 00:00:00,G

ROCKGE01,Gene,Rock,1921-11-04 00:00:00,G

RODGEGU01,Guy,Rodgers,1935-09-01 00:00:00,G

RODMADE01,Dennis,Rodman,1961-05-13 00:00:00,F

RodriSe01,Sergio,Rodriguez,1986-06-12 00:00:00,G

ROELO01,Lou,Roe,1972-07-14 00:00:00,F

ROGERCA01,Carlos,Rogers,1971-02-06 00:00:00,F

ROGERHA01,Harry,Rogers,1950-12-31 00:00:00,F

ROGERMA01,Marshall,Rogers,1953-08-27 00:00:00,G

ROGERRO01,Rodney,Rogers,1971-06-20 00:00:00,F

ROGERRO02,Roy,Rogers,1973-08-19 00:00:00,F

ROGERWI01,Willie,Rogers,1945-09-11 00:00:00,G

ROGESAL01,Al,Roges,1930-10-25 00:00:00,F

ROHLOKE01,Ken,Rohloff,1939-04-18 00:00:00,G

ROLLIKE01,Kenny,Rollins,1923-09-14 00:00:00,G

ROLLIPH01,Phil,Rollins,1934-01-19 00:00:00,G

ROLLITR01,Tree,Rollins,1955-06-16 00:00:00,C

ROMARLO01,Lorenzo,Romar,1958-11-13 00:00:00,G

RondoRa01,Rajon,Rondo,1986-02-22 00:00:00,G

ROOKJE01,Jerry,Rook,1943-10-27 00:00:00,F

ROOKSSE01,Sean,Rooks,1969-09-09 00:00:00,C

ROSEJA01,Jalen,Rose,1973-01-30 00:00:00,G

ROSEMA01,Malik,Rose,1974-11-23 00:00:00,F

ROSERO01,Robert,Rose,1964-12-27 00:00:00,F

RoseDe01,Derrick,Rose,1988-10-04 00:00:00,G

ROSENAL01,Alexander,Rosenberg,1918-04-07 00:00:00,G

ROSENLE01,Lennie,Rosenbluth,1933-01-22 00:00:00,F

ROSENHA01,Hank,Rosenstein,1920-06-16 00:00:00,F

ROSENDI01,Dick,Rosenthal,1930-01-20 00:00:00,F

ROSSQU01,Quinton,Ross,1981-04-30 00:00:00,G

ROTHDO01,Doug,Roth,1967-08-24 00:00:00,F

ROTHSC01,Scott,Roth,1963-06-03 00:00:00,F

ROTHEIR01,Irv,Rothenberg,1921-12-31 00:00:00,C

ROTTNMI01,Mickey,Rottner,1919-03-23 00:00:00,G

ROUNDDA01,Dan,Roundfield,1953-05-26 00:00:00,F

ROUXGI01,Giff,Roux,1923-06-28 00:00:00,F

ROWANRO01,Ron,Rowan,1962-04-23 00:00:00,F

ROWECU01,Curtis,Rowe,1949-07-02 00:00:00,F

ROWINJI01,Jim,Rowinski,1961-01-04 00:00:00,C

ROWLADE01,Derrick,Rowland,1959-06-21 00:00:00,F

ROWSOBR01,Brian,Rowsom,1965-10-23 00:00:00,F

RoyBr01,Brandon,Roy,1984-07-23 00:00:00,G

ROYALDO01,Donald,Royal,1966-05-22 00:00:00,F

ROYALRE01,Reggie,Royals,1950-06-13 00:00:00,C

ROYERBO01,Bob,Royer,1927-10-15 00:00:00,G

ROZIECL01,Clifford,Rozier,1972-10-31 00:00:00,F

RUCKEGU01,Guy,Rucker,1977-07-27 00:00:00,F

RUDDDE01,Delaney,Rudd,1962-11-08 00:00:00,G

RUDDJO01,John,Rudd,1955-08-07 00:00:00,F

RUDOMJO01,John,Rudometkin,1940-06-06 00:00:00,F

RUFFIMI01,Michael,Ruffin,1977-01-21 00:00:00,F

RUFFITR01,Trevor,Ruffin,1970-09-26 00:00:00,G

RUFFNPA01,Paul,Ruffner,1948-10-15 00:00:00,C

RUKLIJO01,Joe,Ruklick,1938-08-03 00:00:00,F

RULANJE01,Jeff,Ruland,1958-12-16 00:00:00,C

RULEBO01,Bob,Rule,1944-06-29 00:00:00,C

RULLOJE01,Jerry,Rullo,1923-06-23 00:00:00,G

RUSCOST01,Stefano,Rusconi,1968-10-02 00:00:00,F

RUSHKA01,Kareem,Rush,1980-10-30 00:00:00,F

RushBr01,Brandon ,Rush,1985-07-07 00:00:00,G

RUSSEBI01,Bill,Russell,1934-02-12 00:00:00,C

RUSSECA01,Cazzie,Russell,1944-06-07 00:00:00,F

RUSSECA02,Campy,Russell,1952-01-12 00:00:00,F

RUSSEFR01,Frank,Russell,1949-04-17 00:00:00,G

RUSSEPI01,Pierce,Russell,1949-12-13 00:00:00,G

RUSSERU01,Rubin,Russell,1944-11-07 00:00:00,G

RUSSEWA01,Walker,Russell,1960-10-26 00:00:00,G

SABONAR01,Arvydas,Sabonis,1964-12-19 00:00:00,C
